NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
ES23,La Rioja,5045,322282,8.364414,23.88964,21.77627,6.8511428,83.2,40.2,8.1,32.6,31900,16500,2.6560951437066405,26.89791873141725,32.48761149653122,EU27
ES24,Aragón,47722,1341289,8.232678,23.40622,22.146607,7.1615439,83,42.9,7.6,38.7,33400,17400,2.344830476509786,25.93353170445497,30.254390008800975,EU27
ES30,Comunidad de Madrid,8031,6871903,8.726549,24.83782,18.430673,5.4678886,85.2,50.5,8.7,41.6,41400,20200,11.704644502552608,17.68148424853692,30.631303698169592,EU27
ES41,Castilla y León,94225,2383703,6.859412,20.26553,26.477124,9.120054,83.8,40.8,8.6,39.5,29100,16600,2.656407535155213,31.696471212523214,30.537543114884585,EU27
ES42,Castilla-La Mancha,79458,2084086,8.671475,24.99028,19.405917,6.286017,83.4,32.7,11.9,38.6,24300,14100,2.4654534471041307,34.51383120642352,31.65571748596743,EU27
ES43,Extremadura,41634,1054306,7.849524,22.98488,21.840623,6.9295821,82.5,34.5,16.2,40.4,23000,13300,2.3802661286448576,19.046932795311523,39.25877888264399,EU27
ES51,Cataluña,32110,7901963,8.664126,25.06632,19.351698,5.7325756,83.7,44.8,8.1,38,35000,18200,5.297415135471815,24.36624104640299,49.5484272812208,EU27
ES52,Comunidad Valenciana,23255,5216195,8.37532,24.3818,20.08234,5.6028964,82.6,38.6,11.6,36.8,26300,14600,7.1597505912706945,25.843904536658783,35.53644377553214,EU27
ES53,Illes Balears,4990,1209906,8.810189,24.61638,16.495992,4.3433126,83.2,33.5,9.5,22.5,31900,16000,9.138276553106213,25.490981963927855,38.35671342685371,EU27
ES61,Andalucía,87600,8584147,8.866437,25.595,18.266696,4.9170756,82,35.8,16.6,36.6,22700,13300,3.767123287671233,35.87785388127854,32.077625570776256,EU27
ES62,Región de Murcia,11314,1551692,10.044841,27.96811,16.346865,4.5955641,82.1,32.7,11.4,33.3,25000,13700,7.14159448470921,29.96287785045077,23.78469153261446,EU27
ES63,Ciudad Autónoma de Ceuta,20,83052,11.162886,32.32553,12.807639,3.1064875,80.4,21.2,26.9,55.8,24800,15100,,,,EU27
ES64,Ciudad Autónoma de Melilla,14,85493,13.425661,35.28008,11.660604,2.6703941,81.7,32.8,24.4,64.7,22300,13300,,,,EU27
ES70,Canarias,7447,2213016,7.135872,22.63834,17.466977,4.4452458,82.3,34.3,14.8,44.9,24000,13500,,,,EU27
